LABEL	THRESHOLD	ACCURACY	PRECISION	RECALL	F1
BioTech	0.00	0.0594	0.0594	1.0000	0.1121
BioTech	0.05	0.1477	0.0652	1.0000	0.1224
BioTech	0.10	0.8128	0.2430	0.9838	0.3886
BioTech	0.15	0.9374	0.5093	0.9189	0.6454
BioTech	0.20	0.9634	0.6588	0.8919	0.7486
BioTech	0.25	0.9733	0.7518	0.8702	0.7986
BioTech	0.30	0.9778	0.8162	0.8324	0.8169
BioTech	0.35	0.9785	0.8357	0.8108	0.8172
BioTech	0.40	0.9772	0.8489	0.7622	0.7967
BioTech	0.45	0.9753	0.8568	0.7081	0.7689
BioTech	0.50	0.9730	0.8622	0.6540	0.7366
BioTech	0.55	0.9724	0.8882	0.6108	0.7150
BioTech	0.60	0.9698	0.8856	0.5622	0.6794
BioTech	0.65	0.9682	0.8823	0.5297	0.6531
BioTech	0.70	0.9650	0.9155	0.4541	0.5999
BioTech	0.75	0.9631	0.9139	0.4162	0.5663
BioTech	0.80	0.9592	0.9117	0.3460	0.4983
BioTech	0.85	0.9550	0.9051	0.2703	0.4145
BioTech	0.90	0.9522	0.8867	0.2216	0.3526
BioTech	0.95	0.9483	0.8933	0.1459	0.2488
BioTech	1.00	0.9406	0.0000	0.0000	0.0000
Smartphones	0.00	0.0636	0.0636	1.0000	0.1196
Smartphones	0.05	0.0883	0.0652	1.0000	0.1224
Smartphones	0.10	0.5563	0.1300	0.9641	0.2269
Smartphones	0.15	0.8735	0.3241	0.8724	0.4659
Smartphones	0.20	0.9104	0.4042	0.7967	0.5242
Smartphones	0.25	0.9316	0.4895	0.7563	0.5772
Smartphones	0.30	0.9464	0.5857	0.7312	0.6303
Smartphones	0.35	0.9519	0.6319	0.6806	0.6363
Smartphones	0.40	0.9557	0.6655	0.6554	0.6435
Smartphones	0.45	0.9573	0.6914	0.6247	0.6382
Smartphones	0.50	0.9595	0.7287	0.5996	0.6425
Smartphones	0.55	0.9586	0.7549	0.5441	0.6136
Smartphones	0.60	0.9576	0.7682	0.4935	0.5770
Smartphones	0.65	0.9579	0.8012	0.4685	0.5658
Smartphones	0.70	0.9566	0.8265	0.4232	0.5324
Smartphones	0.75	0.9544	0.8474	0.3624	0.4809
Smartphones	0.80	0.9525	0.8632	0.3122	0.4409
Smartphones	0.85	0.9502	0.8690	0.2668	0.3935
Smartphones	0.90	0.9467	0.8603	0.1964	0.3126
Smartphones	0.95	0.9441	0.8778	0.1362	0.2328
Smartphones	1.00	0.9364	0.0000	0.0000	0.0000
Internet of Things	0.00	0.0328	0.0328	1.0000	0.0634
Internet of Things	0.05	0.7216	0.1123	0.9310	0.1967
Internet of Things	0.10	0.9534	0.4316	0.8919	0.5708
Internet of Things	0.15	0.9724	0.5752	0.8724	0.6824
Internet of Things	0.20	0.9782	0.6467	0.8624	0.7265
Internet of Things	0.25	0.9833	0.7253	0.8524	0.7729
Internet of Things	0.30	0.9852	0.7525	0.8524	0.7914
Internet of Things	0.35	0.9859	0.7736	0.8324	0.7940
Internet of Things	0.40	0.9875	0.8043	0.8324	0.8119
Internet of Things	0.45	0.9894	0.8579	0.8133	0.8317
Internet of Things	0.50	0.9901	0.8811	0.8033	0.8386
Internet of Things	0.55	0.9904	0.8919	0.8033	0.8428
Internet of Things	0.60	0.9904	0.9194	0.7733	0.8348
Internet of Things	0.65	0.9904	0.9375	0.7538	0.8319
Internet of Things	0.70	0.9888	0.9322	0.7048	0.7965
Internet of Things	0.75	0.9868	0.9240	0.6452	0.7502
Internet of Things	0.80	0.9849	0.9305	0.5771	0.7055
Internet of Things	0.85	0.9830	0.9226	0.5181	0.6551
Internet of Things	0.90	0.9791	0.9041	0.4009	0.5491
Internet of Things	0.95	0.9763	0.9667	0.2824	0.4291
