LABEL	OPTIMAL_THRESHOLD	ACCURACY	PRECISION	RECALL	F1
BioTech	0.75	0.9855	0.8944	0.8648	0.8757
Smartphones	0.85	0.9711	0.9150	0.6203	0.7149
Internet of Things	0.75	0.9942	0.9493	0.8719	0.9051
Social Networks	0.6	0.9743	0.9307	0.8965	0.9126
Battery	0.3	0.9904	0.7127	0.9372	0.8044
Driverless Cars	0.15	0.9974	0.9723	0.9704	0.9705
Wearable Tech	0.8	0.9801	0.9252	0.7855	0.8453
Virtual Reality and Augmented Reality	0.6	0.9740	0.5503	0.7980	0.6368
Drone	0.85	0.9849	0.7974	0.9173	0.8505
NanoTech	0.25	0.9897	0.8402	0.9806	0.9045
Manufacturing	0.7	0.9573	0.5589	0.8067	0.6529
Ecommerce	0.75	0.9930	0.9890	0.9022	0.9429
Artificial Intelligence	0.6	0.9936	0.9691	0.9295	0.9480
