LABEL	THRESHOLD	ACCURACY	PRECISION	RECALL	F1
BioTech	0.00	0.0594	0.0594	1.0000	0.1121
BioTech	0.05	0.4531	0.0978	0.9946	0.1781
BioTech	0.10	0.8728	0.3244	0.9838	0.4853
BioTech	0.15	0.9265	0.4565	0.9459	0.6113
BioTech	0.20	0.9483	0.5513	0.9135	0.6823
BioTech	0.25	0.9627	0.6449	0.8919	0.7431
BioTech	0.30	0.9704	0.7131	0.8811	0.7827
BioTech	0.35	0.9749	0.7739	0.8540	0.8043
BioTech	0.40	0.9765	0.8055	0.8378	0.8114
BioTech	0.45	0.9788	0.8358	0.8270	0.8234
BioTech	0.50	0.9788	0.8451	0.8108	0.8207
BioTech	0.55	0.9769	0.8443	0.7676	0.7975
BioTech	0.60	0.9753	0.8665	0.6973	0.7649
BioTech	0.65	0.9749	0.8795	0.6757	0.7574
BioTech	0.70	0.9737	0.8761	0.6541	0.7427
BioTech	0.75	0.9711	0.8775	0.6000	0.7034
BioTech	0.80	0.9689	0.8805	0.5459	0.6643
BioTech	0.85	0.9653	0.8894	0.4757	0.6103
BioTech	0.90	0.9608	0.9129	0.3730	0.5241
BioTech	0.95	0.9534	0.8806	0.2487	0.3828
BioTech	1.00	0.9406	0.0000	0.0000	0.0000
Smartphones	0.00	0.0636	0.0636	1.0000	0.1196
Smartphones	0.05	0.3286	0.0854	0.9795	0.1569
Smartphones	0.10	0.7634	0.2047	0.9283	0.3340
Smartphones	0.15	0.8655	0.3121	0.8776	0.4538
Smartphones	0.20	0.8960	0.3804	0.8368	0.5051
Smartphones	0.25	0.9204	0.4486	0.8015	0.5573
Smartphones	0.30	0.9354	0.5138	0.7712	0.5960
Smartphones	0.35	0.9460	0.5691	0.7459	0.6264
Smartphones	0.40	0.9524	0.6142	0.7209	0.6469
Smartphones	0.45	0.9547	0.6477	0.6806	0.6465
Smartphones	0.50	0.9576	0.6847	0.6503	0.6481
Smartphones	0.55	0.9599	0.7142	0.6453	0.6583
Smartphones	0.60	0.9611	0.7484	0.6149	0.6532
Smartphones	0.65	0.9615	0.7652	0.5844	0.6419
Smartphones	0.70	0.9615	0.7867	0.5540	0.6314
Smartphones	0.75	0.9602	0.8114	0.5136	0.6040
Smartphones	0.80	0.9589	0.8331	0.4532	0.5630
Smartphones	0.85	0.9547	0.8455	0.3676	0.4843
Smartphones	0.90	0.9518	0.8456	0.3121	0.4346
Smartphones	0.95	0.9496	0.8931	0.2417	0.3708
Smartphones	1.00	0.9364	0.0000	0.0000	0.0000
Internet of Things	0.00	0.0328	0.0328	1.0000	0.0634
Internet of Things	0.05	0.7984	0.1440	0.9410	0.2464
Internet of Things	0.10	0.9403	0.3556	0.9019	0.5055
Internet of Things	0.15	0.9586	0.4503	0.9019	0.5950
Internet of Things	0.20	0.9679	0.5262	0.8919	0.6528
Internet of Things	0.25	0.9740	0.5881	0.8724	0.6943
Internet of Things	0.30	0.9782	0.6552	0.8524	0.7271
Internet of Things	0.35	0.9810	0.6921	0.8524	0.7523
Internet of Things	0.40	0.9830	0.7262	0.8424	0.7676
Internet of Things	0.45	0.9859	0.7671	0.8424	0.7953
Internet of Things	0.50	0.9878	0.8178	0.8229	0.8135
Internet of Things	0.55	0.9884	0.8410	0.8033	0.8178
Internet of Things	0.60	0.9901	0.8930	0.7933	0.8372
Internet of Things	0.65	0.9904	0.9108	0.7833	0.8400
Internet of Things	0.70	0.9913	0.9406	0.7833	0.8533
Internet of Things	0.75	0.9907	0.9506	0.7538	0.8383
Internet of Things	0.80	0.9888	0.9449	0.6948	0.7970
Internet of Things	0.85	0.9862	0.9357	0.6157	0.7355
Internet of Things	0.90	0.9830	0.9243	0.5181	0.6572
Internet of Things	0.95	0.9795	0.9110	0.4109	0.5609
Internet of Things	1.00	0.9672	0.0000	0.0000	0.0000
Social Networks	0.00	0.1490	0.1490	1.0000	0.2594
Social Networks	0.05	0.3529	0.1870	0.9978	0.3150
Social Networks	0.10	0.6410	0.2939	0.9957	0.4535
Social Networks	0.15	0.8189	0.4514	0.9785	0.6174
Social Networks	0.20	0.9136	0.6413	0.9634	0.7693
Social Networks	0.25	0.9400	0.7337	0.9418	0.8239
Social Networks	0.30	0.9528	0.7984	0.9202	0.8534
Social Networks	0.35	0.9583	0.8312	0.9073	0.8664
Social Networks	0.40	0.9618	0.8552	0.8987	0.8750
Social Networks	0.45	0.9624	0.8754	0.8750	0.8741
Social Networks	0.50	0.9618	0.8922	0.8492	0.8690
Social Networks	0.55	0.9618	0.9101	0.8276	0.8660
Social Networks	0.60	0.9589	0.9160	0.7996	0.8531
Social Networks	0.65	0.9541	0.9169	0.7630	0.8321
Social Networks	0.70	0.9479	0.9269	0.7092	0.8023
Social Networks	0.75	0.9399	0.9380	0.6425	0.7605
Social Networks	0.80	0.9323	0.9432	0.5821	0.7175
Social Networks	0.85	0.9233	0.9541	0.5109	0.6635
Social Networks	0.90	0.9123	0.9747	0.4248	0.5880
Social Networks	0.95	0.8882	0.9848	0.2545	0.4028
Social Networks	1.00	0.8510	0.0000	0.0000	0.0000
Battery	0.00	0.0202	0.0202	1.0000	0.0397
Battery	0.05	0.9445	0.2759	0.9846	0.4277
Battery	0.10	0.9817	0.5391	0.9218	0.6757
Battery	0.15	0.9859	0.6130	0.9064	0.7270
Battery	0.20	0.9875	0.6436	0.9064	0.7486
Battery	0.25	0.9878	0.6629	0.8897	0.7517
Battery	0.30	0.9888	0.6817	0.8897	0.7652
Battery	0.35	0.9888	0.6817	0.8897	0.7652
Battery	0.40	0.9888	0.6841	0.8731	0.7609
Battery	0.45	0.9891	0.7014	0.8577	0.7640
Battery	0.50	0.9897	0.7174	0.8577	0.7745
Battery	0.55	0.9891	0.7123	0.8269	0.7567
Battery	0.60	0.9897	0.7311	0.8269	0.7681
Battery	0.65	0.9891	0.7239	0.7782	0.7444
Battery	0.70	0.9878	0.7209	0.6833	0.6960
Battery	0.75	0.9885	0.7509	0.6833	0.7086
Battery	0.80	0.9881	0.7732	0.6192	0.6816
Battery	0.85	0.9868	0.7720	0.5410	0.6233
Battery	0.90	0.9855	0.7820	0.4462	0.5459
Battery	0.95	0.9814	0.5100	0.1910	0.2770
Battery	1.00	0.9798	0.0000	0.0000	0.0000
Driverless Cars	0.00	0.0430	0.0430	1.0000	0.0825
Driverless Cars	0.05	0.9226	0.3704	1.0000	0.5366
Driverless Cars	0.10	0.9852	0.7480	1.0000	0.8547
Driverless Cars	0.15	0.9901	0.8238	0.9852	0.8959
Driverless Cars	0.20	0.9914	0.8444	0.9852	0.9081
Driverless Cars	0.25	0.9914	0.8483	0.9778	0.9072
Driverless Cars	0.30	0.9917	0.8580	0.9704	0.9098
Driverless Cars	0.35	0.9933	0.8877	0.9704	0.9264
Driverless Cars	0.40	0.9936	0.8928	0.9704	0.9294
Driverless Cars	0.45	0.9933	0.9038	0.9478	0.9243
Driverless Cars	0.50	0.9930	0.9033	0.9404	0.9203
Driverless Cars	0.55	0.9936	0.9220	0.9330	0.9262
Driverless Cars	0.60	0.9942	0.9344	0.9330	0.9328
Driverless Cars	0.65	0.9942	0.9467	0.9182	0.9313
Driverless Cars	0.70	0.9936	0.9520	0.8960	0.9213
Driverless Cars	0.75	0.9917	0.9475	0.8513	0.8924
Driverless Cars	0.80	0.9901	0.9460	0.8140	0.8704
Driverless Cars	0.85	0.9869	0.9473	0.7322	0.8208
Driverless Cars	0.90	0.9833	0.9610	0.6353	0.7548
Driverless Cars	0.95	0.9778	0.9542	0.5000	0.6416
Driverless Cars	1.00	0.9570	0.0000	0.0000	0.0000
Wearable Tech	0.00	0.0703	0.0703	1.0000	0.1314
Wearable Tech	0.05	0.3654	0.0993	0.9909	0.1805
Wearable Tech	0.10	0.8372	0.2993	0.9544	0.4544
Wearable Tech	0.15	0.9104	0.4412	0.9316	0.5965
Wearable Tech	0.20	0.9377	0.5425	0.9224	0.6798
Wearable Tech	0.25	0.9490	0.6031	0.8904	0.7142
Wearable Tech	0.30	0.9567	0.6520	0.8768	0.7436
Wearable Tech	0.35	0.9608	0.6845	0.8586	0.7568
Wearable Tech	0.40	0.9650	0.7237	0.8448	0.7740
Wearable Tech	0.45	0.9708	0.7754	0.8403	0.8020
Wearable Tech	0.50	0.9717	0.8038	0.8084	0.8016
Wearable Tech	0.55	0.9733	0.8377	0.7764	0.8031
Wearable Tech	0.60	0.9737	0.8644	0.7444	0.7972
Wearable Tech	0.65	0.9737	0.8797	0.7261	0.7934
Wearable Tech	0.70	0.9737	0.9030	0.6989	0.7860
Wearable Tech	0.75	0.9724	0.9333	0.6531	0.7664
Wearable Tech	0.80	0.9679	0.9460	0.5755	0.7143
Wearable Tech	0.85	0.9663	0.9745	0.5344	0.6882
Wearable Tech	0.90	0.9621	0.9800	0.4704	0.6348
Wearable Tech	0.95	0.9528	0.9833	0.3335	0.4971
Wearable Tech	1.00	0.9297	0.0000	0.0000	0.0000
Virtual Reality and Augmented Reality	0.00	0.0282	0.0282	1.0000	0.0550
Virtual Reality and Augmented Reality	0.05	0.7386	0.0954	0.9555	0.1731
Virtual Reality and Augmented Reality	0.10	0.9139	0.2391	0.8993	0.3743
Virtual Reality and Augmented Reality	0.15	0.9396	0.3119	0.8543	0.4495
Virtual Reality and Augmented Reality	0.20	0.9553	0.3820	0.7967	0.5078
Virtual Reality and Augmented Reality	0.25	0.9631	0.4405	0.7503	0.5433
Virtual Reality and Augmented Reality	0.30	0.9666	0.4725	0.7503	0.5678
Virtual Reality and Augmented Reality	0.35	0.9682	0.5001	0.7163	0.5719
Virtual Reality and Augmented Reality	0.40	0.9698	0.5126	0.7046	0.5790
